中国电信IPTV,#genre#
深圳卫视,http://host.gaoxincloud.cn:4000/udp/239.109.205.189:9602
黑龙江卫视,http://host.gaoxincloud.cn:4000/udp/239.109.205.190:9604
湖北卫视,http://host.gaoxincloud.cn:4000/udp/239.109.205.165:9006
四川卫视,http://host.gaoxincloud.cn:4000/udp/239.110.205.18:9818
安徽卫视,http://host.gaoxincloud.cn:4000/udp/239.110.205.11:9790
重庆卫视,http://host.gaoxincloud.cn:4000/udp/239.109.205.70:8496
天津卫视,http://host.gaoxincloud.cn:4000/udp/239.110.205.23:9838
东南卫视,http://host.gaoxincloud.cn:4000/udp/239.109.205.177:9626
河南卫视,http://host.gaoxincloud.cn:4000/udp/239.109.205.140:9026
江西卫视,http://host.gaoxincloud.cn:4000/udp/239.109.205.96:8704
吉林卫视,http://host.gaoxincloud.cn:4000/udp/239.109.205.115:8856
辽宁卫视,http://host.gaoxincloud.cn:4000/udp/239.110.205.12:9794
山东卫视,http://host.gaoxincloud.cn:4000/udp/239.109.205.191:9606
甘肃卫视,http://host.gaoxincloud.cn:4000/udp/239.110.205.122:7788
河北卫视,http://host.gaoxincloud.cn:4000/udp/239.109.205.158:9106
贵州卫视,http://host.gaoxincloud.cn:4000/udp/239.109.205.139:9024
甘肃卫视,http://host.gaoxincloud.cn:4000/udp/239.109.205.125:8936
宁夏卫视,http://host.gaoxincloud.cn:4000/udp/239.109.205.126:8944
海南卫视,http://host.gaoxincloud.cn:4000/udp/239.109.205.41:8256
广西卫视,http://host.gaoxincloud.cn:4000/udp/239.109.205.39:8240
青海卫视,http://host.gaoxincloud.cn:4000/udp/239.109.205.44:8288
山西卫视,http://host.gaoxincloud.cn:4000/udp/239.109.205.26:8136
西藏卫视,http://host.gaoxincloud.cn:4000/udp/239.109.205.45:8296
内蒙古卫视,http://host.gaoxincloud.cn:4000/udp/239.109.205.46:8304
新疆卫视,http://host.gaoxincloud.cn:4000/udp/239.110.205.13:9798
云南卫视,http://host.gaoxincloud.cn:4000/udp/239.110.205.15:9806
厦门卫视,http://host.gaoxincloud.cn:4000/udp/239.110.205.21:9830
兵团卫视,http://host.gaoxincloud.cn:4000/udp/239.109.205.86:8624
农林卫视,http://host.gaoxincloud.cn:4000/udp/239.109.205.133:8998
三沙卫视,http://host.gaoxincloud.cn:4000/udp/239.110.205.100:7876

纪实人文,http://host.gaoxincloud.cn:4000/udp/239.109.205.52:8352
金鹰纪实,http://host.gaoxincloud.cn:4000/udp/239.109.205.59:8408
欢笑剧场,http://host.gaoxincloud.cn:4000/udp/239.109.205.51:8344
爱上4K,http://host.gaoxincloud.cn:4000/udp/239.109.205.53:8360
嘉佳卡通,http://host.gaoxincloud.cn:4000/udp/239.109.205.150:9078
金鹰卡通,http://host.gaoxincloud.cn:4000/udp/239.109.205.42:8272
优漫卡通,http://host.gaoxincloud.cn:4000/udp/239.110.205.17:9814
卡酷动画,http://host.gaoxincloud.cn:4000/udp/239.109.205.124:8928
生活时尚,http://host.gaoxincloud.cn:4000/udp/239.109.205.55:8376
都市剧场,http://host.gaoxincloud.cn:4000/udp/239.109.205.50:8336
法治天地,http://host.gaoxincloud.cn:4000/udp/239.109.205.57:8392
财富天下,http://host.gaoxincloud.cn:4000/udp/239.109.205.94:8688
空中课堂,rhttp://host.gaoxincloud.cn:4000/udp/239.109.205.49:8328
金色频道,http://host.gaoxincloud.cn:4000/udp/239.109.205.65:8456

CCTV1,http://113.17.36.38:5050/udp/239.81.0.102:4056
CCTV2,http://113.17.36.38:5050/udp/239.81.0.115:4056
CCTV3,http://113.17.36.38:5050/udp/239.81.0.231:4056
CCTV4,http://113.17.36.38:5050/udp/239.81.0.96:4056
CCTV5,http://113.17.36.38:5050/udp/239.81.0.232:4056
CCTV6,http://113.17.36.38:5050/udp/239.81.0.233:4056
CCTV7,http://113.17.36.38:5050/udp/239.81.0.116:4056
CCTV8,http://113.17.36.38:5050/udp/239.81.0.234:4056
CCTV9,http://113.17.36.38:5050/udp/239.81.0.117:4056
CCTV10,http://113.17.36.38:5050/udp/239.81.0.118:4056
CCTV11,http://113.17.36.38:5050/udp/239.81.0.229:4056
CCTV12,http://113.17.36.38:5050/udp/239.81.0.119:4056
CCTV13,http://113.17.36.38:5050/udp/239.81.0.206:4056
CCTV14,http://113.17.36.38:5050/udp/239.81.0.120:4056
CCTV15,http://113.17.36.38:5050/udp/239.81.0.230:4056
CCTV16,http://113.17.36.38:5050/udp/239.81.0.142:4056
CCTV17,http://113.17.36.38:5050/udp/239.81.0.228:4056
CCTV5+,http://113.17.36.38:5050/udp/239.81.0.101:4056
CCTV4K UHD,http://113.17.36.38:5050/udp/239.81.1.78:4056

广东卫视,http://113.17.36.38:5050/udp/239.81.1.21:4056
广西卫视,http://113.17.36.38:5050/udp/239.81.1.1:4056
湖南卫视,http://113.17.36.38:5050/udp/239.81.1.22:4056
东方卫视,http://113.17.36.38:5050/udp/239.81.1.23:4056
北京卫视,http://113.17.36.38:5050/udp/239.81.1.24:4056
浙江卫视,http://113.17.36.38:5050/udp/239.81.1.25:4056
江苏卫视,http://113.17.36.38:5050/udp/239.81.1.26:4056
深圳卫视,http://113.17.36.38:5050/udp/239.81.1.27:4056
天津卫视,http://113.17.36.38:5050/udp/239.81.1.28:4056
湖北卫视,http://113.17.36.38:5050/udp/239.81.1.29:4056
山东卫视,http://113.17.36.38:5050/udp/239.81.1.30:4056
黑龙江卫视,http://113.17.36.38:5050/udp/239.81.1.31:4056
河北卫视,http://113.17.36.38:5050/udp/239.81.1.32:4056
贵州卫视,http://113.17.36.38:5050/udp/239.81.1.33:4056
东南卫视,http://113.17.36.38:5050/udp/239.81.1.34:4056
辽宁卫视,http://113.17.36.38:5050/udp/239.81.1.35:4056
安徽卫视,http://113.17.36.38:5050/udp/239.81.1.36:4056
甘肃卫视,http://113.17.36.38:5050/udp/239.81.1.37:4056
江西卫视,http://113.17.36.38:5050/udp/239.81.1.38:4056
四川卫视,http://113.17.36.38:5050/udp/239.81.1.39:4056
陕西卫视,http://113.17.36.38:5050/udp/239.81.1.40:4056
河南卫视,http://113.17.36.38:5050/udp/239.81.1.41:4056
云南卫视,http://113.17.36.38:5050/udp/239.81.1.42:4056
新疆卫视,http://113.17.36.38:5050/udp/239.81.1.43:4056
重庆卫视,http://113.17.36.38:5050/udp/239.81.1.44:4056
海南卫视,http://113.17.36.38:5050/udp/239.81.1.45:4056
山西卫视,http://113.17.36.38:5050/udp/239.81.1.46:4056
青海卫视,http://113.17.36.38:5050/udp/239.81.1.47:4056
内蒙古卫视,http://113.17.36.38:5050/udp/239.81.1.48:4056
西藏卫视,http://113.17.36.38:5050/udp/239.81.1.49:4056
吉林卫视,http://113.17.36.38:5050/udp/239.81.1.50:4056
宁夏卫视,http://113.17.36.38:5050/udp/239.81.1.51:4056
厦门卫视,http://113.17.36.38:5050/udp/239.81.1.53:4056
兵团卫视,http://113.17.36.38:5050/udp/239.81.1.54:4056
